"ZIP","Bliss","HSA","Loewe","Drug1","Drug2","Cell"
"-2.96379803327608","-3.47193234700207","1.22226815985799","-1.05072607006862","Everolimus","Dactolisib","BT-549"
"0.688004524996599","-4.27046763127826","-11.3292908625679","-10.0165042139455","Trametinib","Dactolisib","BT-549"
"-1.69201837799697","-5.75549584593918","-10.110970489832","-12.7424659565884","Refametinib","Dactolisib","BT-549"
"0.234506399759593","-4.64671101164714","-5.08961905806323","-5.49042953014632","Indibulin","Dactolisib","BT-549"
"12.6595967600114","10.3832777765462","-3.99475934739174","-3.71250037296634","GSK269962","Trametinib","BT-549"
"11.4141761307507","15.3566506631318","-0.333464109885913","-4.26038834953987","Navitoclax","Trametinib","BT-549"
"0.460172814058947","-5.99080177810803","-18.3569820974254","-19.2052291293963","Ponatinib","Trametinib","BT-549"
"-0.147206020297729","-2.70775868825647","-7.16709421364782","-12.8042946161127","Olaparib","Trametinib","BT-549"
"-3.95686769534638","-9.37828984888866","-11.0813844942368","-18.9754428044387","ABT-199","Trametinib","BT-549"
"-0.688992515707177","-4.7506692241777","-6.37865392426622","-5.76229159065916","SCH772984","Trametinib","BT-549"
"10.3462486250765","9.49710148501714","-2.47381641382834","-8.97158193647729","Entinostat","Trametinib","BT-549"
"6.0965302890679","4.88951664733904","-4.07795833792327","-11.7930875020858","Iniparib","Trametinib","BT-549"
"-2.68965062217818","-5.19047277039717","-0.757039933568002","-0.224705016514839","Everolimus","Dactolisib","CAL-85-1"
"3.78845411266763","2.90304576414649","-3.46055019848778","-3.19721552164056","Trametinib","Dactolisib","CAL-85-1"
"-0.269152052133534","6.76305721698026","-3.66137893605068","-5.30210010428592","Refametinib","Dactolisib","CAL-85-1"
"-0.519295589638281","-19.4816813351896","-21.450798929182","-19.7141148447905","Indibulin","Dactolisib","CAL-85-1"
"14.0173122477619","19.6801439824387","-1.9166842433872","-1.45880876927309","GSK269962","Trametinib","CAL-85-1"
"9.03682028368089","10.8338810697724","-10.3867503921487","-19.1944188246992","Navitoclax","Trametinib","CAL-85-1"
"-1.19551524571436","-9.23060284505969","-14.5566525011134","-16.6429425766409","Ponatinib","Trametinib","CAL-85-1"
"0.775160655897266","-0.589778312300991","-6.21663903692456","-18.9777727543167","Olaparib","Trametinib","CAL-85-1"
"-1.32249318061082","3.52093609463728","-0.633313001429147","-14.6714883538345","ABT-199","Trametinib","CAL-85-1"
"5.083281691788","13.8979711971465","-2.21104878386633","-2.13990298242355","SCH772984","Trametinib","CAL-85-1"
"17.0172712003536","16.8460188065703","-3.32129042737842","-17.4376244369085","Entinostat","Trametinib","CAL-85-1"
"9.05663327338145","15.8989894282185","-4.90581347818917","-12.1822369698057","Iniparib","Trametinib","CAL-85-1"
"3.58759167561413","-2.40966220915157","-10.6016782352313","-11.9491344614353","Danusertib","Dactolisib","CAL148"
"1.62987178725293","-2.12903115975899","-9.02161978550907","-41.3041039532028","Dasatinib","Dactolisib","CAL148"
"1.76596063034262","-0.687358247248607","-3.16529840089571","-4.13358956857172","SNS-032","Dactolisib","CAL148"
"5.00615270109229","6.76775081607869","0.381430230654025","-0.181269609756534","Indibulin","Dactolisib","CAL148"
"8.49985268066038","4.36701873763197","-3.48125566827396","-1.57167120071971","Dinaciclib","Dactolisib","CAL148"
"19.8845673218741","16.1146273342103","7.19946747186728","-0.569532627296555","TAK-901","Dactolisib","CAL148"
"4.05099523807926","5.14806476630734","-3.49280049991624","-4.26227171569843","Trametinib","Dactolisib","CAL148"
"8.28560246218125","9.57153891730971","-3.8398890314831","-5.91838040912635","Teniposide","Dactolisib","CAL148"
"-1.31026955824491","-1.45222206488992","-3.47706491269092","-5.58167823611092","Floxuridine","Dactolisib","CAL148"
"0.297094216324657","-0.218955556853497","-4.01590607705776","-8.65243435862607","Refametinib","Dactolisib","CAL148"
"7.8058864276519","8.51601530876551","-1.94720421616939","-2.33531510088759","Navitoclax","Dactolisib","CAL148"
"4.98072318466785","5.49677274286507","-0.600254403165181","-2.5066920667714","BIIB021","Dactolisib","CAL148"
"-4.46520444687804","-6.92233258769001","-8.22737771574927","-7.65102198885979","GSK269962","Trametinib","CAL148"
"-1.84248312717875","-4.98752520189498","-8.10412024743008","-11.5723529010342","GDC-0068","Trametinib","CAL148"
"-0.404027219167854","-2.71964513160134","-8.52256692039988","-13.4308621264536","Nintedanib","Trametinib","CAL148"
"9.86410063938719","9.33589870492472","1.39462873679302","-0.437808529393335","Everolimus","Trametinib","CAL148"
"10.9078156365152","13.2567755441531","-1.12506111180335","-0.852669803513124","Olaparib","Trametinib","CAL148"
"9.84613717783611","10.2955110071507","-3.16841541239121","-11.1667932215683","SCH772984","Trametinib","CAL148"
"6.60564727725888","-7.1949909564153","-13.1604203641134","-19.5479692862569","ABT-199","Trametinib","CAL148"
